dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.623053,10.989238,0.000580,0.057971,2.898551,144.927536,0.069498
0.020000,4.622910,10.989228,0.000723,0.007159,-2.540619,-271.958508,0.069641
0.020000,4.622625,10.989208,0.001009,0.014310,0.357574,144.909688,0.069927
0.020000,4.622997,10.989234,0.001382,0.018640,0.216514,-7.053015,0.070356
0.020000,4.631679,10.989849,0.010086,0.435208,20.828397,1030.594138,0.070927
0.020000,4.642532,10.990624,0.020967,0.544057,5.442449,-769.297399,0.071640
0.020000,4.655557,10.991564,0.034026,0.652942,5.444219,0.088509,0.072494
0.020000,4.670754,10.992675,0.049263,0.761867,5.446249,0.101492,0.073489
0.020000,4.688123,10.993964,0.066680,0.870843,5.448799,0.127500,0.074623
0.020000,4.707665,10.995437,0.086278,0.979878,5.451750,0.147563,0.075895
0.020000,4.729381,10.997104,0.108057,1.088968,5.454499,0.137436,0.077304
0.020000,4.753270,10.998973,0.132020,1.198128,5.458037,0.176912,0.078849
0.020000,4.779335,11.001054,0.158167,1.307370,5.462098,0.203070,0.080527
0.020000,4.807575,11.003359,0.186501,1.416696,5.466279,0.209027,0.082338
0.020000,4.837991,11.005899,0.217023,1.526108,5.470609,0.216503,0.084280
0.020000,4.870585,11.008687,0.249736,1.635631,5.476150,0.277073,0.086350
0.020000,4.905356,11.011735,0.284641,1.745250,5.480932,0.239085,0.088546
0.020000,4.942307,11.015059,0.321741,1.854993,5.487176,0.312183,0.090867
0.020000,4.981438,11.018672,0.361038,1.964862,5.493419,0.312173,0.093308
0.020000,5.022750,11.022592,0.402535,2.074863,5.500087,0.333406,0.095869
0.020000,5.066243,11.026833,0.446235,2.185000,5.506836,0.337433,0.098546
0.020000,5.111920,11.031414,0.492141,2.295288,5.514406,0.378494,0.101336
0.020000,5.159781,11.036350,0.540256,2.405735,5.522317,0.395573,0.104236
0.020000,5.209827,11.041662,0.590583,2.516355,5.531036,0.435915,0.107242
0.020000,5.262059,11.047367,0.643126,2.627145,5.539475,0.421977,0.110351
0.020000,5.316479,11.053486,0.697888,2.738126,5.549084,0.480419,0.113560
0.020000,5.373087,11.060037,0.754874,2.849298,5.558574,0.474513,0.116863
0.020000,5.431885,11.067041,0.814088,2.960673,5.568736,0.508106,0.120259
0.020000,5.492873,11.074519,0.875533,3.072261,5.579433,0.534858,0.123741
0.020000,5.556054,11.082492,0.939214,3.184078,5.590830,0.569847,0.127306
0.020000,5.621427,11.090981,1.005137,3.296122,5.602200,0.568502,0.130948
0.020000,5.688995,11.100008,1.073305,3.408412,5.614482,0.614100,0.134664
0.020000,5.758758,11.109594,1.143724,3.520947,5.626772,0.614504,0.138448
0.020000,5.830718,11.119763,1.216399,3.633747,5.639995,0.661161,0.142295
0.020000,5.904876,11.130535,1.291335,3.746814,5.653377,0.669058,0.146199
0.020000,5.981234,11.141933,1.368538,3.860164,5.667460,0.704148,0.150155
0.020000,6.059791,11.153980,1.448015,3.973802,5.681904,0.722208,0.154157
0.020000,6.140551,11.166697,1.529769,4.087737,5.696749,0.742264,0.158200
0.020000,6.223514,11.180106,1.613809,4.201978,5.712066,0.765865,0.162276
0.020000,6.308681,11.194230,1.700140,4.316539,5.728025,0.797937,0.166380
0.020000,6.396055,11.209089,1.788768,4.431422,5.744165,0.806989,0.170505
0.020000,6.485637,11.224704,1.879701,4.546639,5.760876,0.835554,0.174645
0.020000,6.577429,11.241097,1.972945,4.662199,5.778003,0.856338,0.178792
0.020000,6.671432,11.258288,2.068507,4.778110,5.795541,0.876915,0.182940
0.020000,6.767649,11.276296,2.166395,4.894381,5.813515,0.898703,0.187081
0.020000,6.866082,11.295140,2.266615,5.011017,5.831838,0.916144,0.191208
0.020000,6.966733,11.314839,2.369176,5.128029,5.850597,0.937944,0.195314
0.020000,7.069605,11.335410,2.474084,5.245423,5.869707,0.955527,0.199391
0.020000,7.174701,11.356869,2.581348,5.363207,5.889191,0.974184,0.203432
0.020000,7.282023,11.379233,2.690976,5.481389,5.909065,0.993706,0.207427
0.020000,7.391576,11.402516,2.802975,5.599974,5.929294,1.011424,0.211369
0.020000,7.503362,11.426731,2.917355,5.718970,5.949795,1.025077,0.215251
0.020000,7.617387,11.451891,3.034122,5.838384,5.970689,1.044710,0.219063
0.020000,7.733655,11.478006,3.153287,5.958223,5.991930,1.062012,0.222797
0.020000,7.852171,11.505085,3.274857,6.078492,6.013474,1.077227,0.226444
0.020000,7.972939,11.533138,3.398841,6.199197,6.035220,1.087304,0.229996
0.020000,8.095967,11.562169,3.525248,6.320347,6.057510,1.114496,0.233445
0.020000,8.221261,11.592184,3.654087,6.441944,6.079862,1.117596,0.236779
0.020000,8.348828,11.623186,3.785366,6.563998,6.102723,1.143046,0.239992
0.020000,8.478676,11.655175,3.919097,6.686514,6.125774,1.152560,0.243073
0.020000,8.610813,11.688151,4.055287,6.809498,6.149182,1.170371,0.246014
0.020000,8.745250,11.722110,4.193946,6.932956,6.172899,1.185859,0.248804
0.020000,8.881995,11.757046,4.335084,7.056892,6.196841,1.197118,0.251434
0.020000,9.021061,11.792953,4.478710,7.181319,6.221308,1.223348,0.253895
0.020000,9.162458,11.829820,4.624835,7.306238,6.245985,1.233838,0.256176
0.020000,9.306201,11.867634,4.773468,7.431659,6.271015,1.251521,0.258267
0.020000,9.452302,11.906380,4.924620,7.557588,6.296454,1.271926,0.260159
0.020000,9.600777,11.946040,5.078300,7.684034,6.322301,1.292382,0.261841
0.020000,9.751642,11.986593,5.234520,7.811002,6.348404,1.305131,0.263302
0.020000,9.904358,12.027863,5.392715,7.909719,4.935867,-70.626877,0.264528
0.020000,10.057829,12.069518,5.551738,7.951174,2.072734,-143.156628,0.265504
0.020000,10.211510,12.111371,5.711016,7.963879,0.635264,-71.873524,0.266227
0.020000,10.365410,12.153382,5.870547,7.976578,0.634948,-0.015801,0.266695
0.020000,10.519542,12.195512,6.030333,7.989272,0.634702,-0.012301,0.266910
0.020000,10.673914,12.237723,6.190372,8.001964,0.634585,-0.005834,0.266870
0.020000,10.828538,12.279975,6.350665,8.014656,0.634613,0.001428,0.266577
0.020000,10.983425,12.322229,6.511212,8.027351,0.634747,0.006678,0.266030
0.020000,11.138585,12.364445,6.672013,8.040051,0.635002,0.012746,0.265229
0.020000,11.294030,12.406584,6.833068,8.052760,0.635429,0.021378,0.264174
0.020000,11.449770,12.448605,6.994378,8.065478,0.635910,0.024033,0.262864
0.020000,11.605817,12.490468,7.155942,8.078208,0.636491,0.029061,0.261300
0.020000,11.762180,12.532133,7.317761,8.090951,0.637184,0.034651,0.259481
0.020000,11.918870,12.573559,7.479835,8.103713,0.638075,0.044526,0.257407
0.020000,12.075899,12.614704,7.642165,8.116489,0.638838,0.038167,0.255077
0.020000,12.233276,12.655528,7.804751,8.129284,0.639737,0.044957,0.252491
0.020000,12.390600,12.695883,7.967168,8.120830,-0.422720,-53.122873,0.249657
0.020000,12.546890,12.735482,8.128396,8.061425,-2.970220,-127.374971,0.246596
0.020000,12.701410,12.774112,8.287672,7.963803,-4.881129,-95.545451,0.243330
0.020000,12.853993,12.811714,8.444820,7.857402,-5.320049,-21.946003,0.239874
0.020000,13.004630,12.848271,8.599830,7.750475,-5.346329,-1.314035,0.236238
0.020000,13.153312,12.883767,8.752690,7.643033,-5.372140,-1.290530,0.232431
0.020000,13.300030,12.918192,8.903392,7.535078,-5.397734,-1.279720,0.228465
0.020000,13.444771,12.951536,9.051924,7.426618,-5.423000,-1.263286,0.224349
0.020000,13.587524,12.983794,9.198277,7.317655,-5.448119,-1.255936,0.220093
0.020000,13.728279,13.014962,9.342441,7.208197,-5.472914,-1.239760,0.215708
0.020000,13.867021,13.045038,9.484406,7.098247,-5.497516,-1.230098,0.211203
0.020000,14.003739,13.074022,9.624162,6.987811,-5.521799,-1.214168,0.206588
0.020000,14.138418,13.101919,9.761700,6.876894,-5.545850,-1.202544,0.201872
0.020000,14.271045,13.128732,9.897010,6.765502,-5.569617,-1.188324,0.197065
0.020000,14.401605,13.154470,10.030083,6.653640,-5.593072,-1.172778,0.192177
0.020000,14.530084,13.179140,10.160909,6.541314,-5.616289,-1.160831,0.187216
0.020000,14.656468,13.202754,10.289480,6.428531,-5.639150,-1.143081,0.182192
0.020000,14.780740,13.225325,10.415786,6.315297,-5.661702,-1.127570,0.177114
0.020000,14.902888,13.246867,10.539818,6.201619,-5.683901,-1.109959,0.171991
0.020000,15.022895,13.267395,10.661568,6.087505,-5.705717,-1.090817,0.166831
0.020000,15.140746,13.286928,10.781028,5.972959,-5.727295,-1.078869,0.161644
0.020000,15.256427,13.305484,10.898188,5.857993,-5.748281,-1.049319,0.156436
0.020000,15.369923,13.323083,11.013040,5.742614,-5.768964,-1.034167,0.151218
0.020000,15.481219,13.339746,11.125576,5.626829,-5.789233,-1.013425,0.145996
0.020000,15.590301,13.355496,11.235789,5.510650,-5.808974,-0.987038,0.140779
0.020000,15.697154,13.370356,11.343671,5.394082,-5.828422,-0.972421,0.135575
0.020000,15.801765,13.384351,11.449214,5.277138,-5.847185,-0.938156,0.130390
0.020000,15.904120,13.397506,11.552410,5.159822,-5.865769,-0.929172,0.125233
0.020000,16.004205,13.409846,11.653253,5.042153,-5.883450,-0.884065,0.120111
0.020000,16.102008,13.421399,11.751736,4.924137,-5.900830,-0.869008,0.115030
0.020000,16.197516,13.432191,11.847852,4.805782,-5.917755,-0.846228,0.109998
0.020000,16.290716,13.442250,11.941594,4.687096,-5.934309,-0.827708,0.105020
0.020000,16.381598,13.451604,12.032956,4.568102,-5.949691,-0.769107,0.100103
0.020000,16.470150,13.460282,12.121932,4.448801,-5.965055,-0.768200,0.095254
0.020000,16.556361,13.468312,12.208516,4.329201,-5.979988,-0.746649,0.090478
0.020000,16.640221,13.475722,12.292702,4.209318,-5.994164,-0.708817,0.085780
0.020000,16.721719,13.482541,12.374485,4.089168,-6.007504,-0.666989,0.081167
0.020000,16.800847,13.488798,12.453860,3.968756,-6.020558,-0.652682,0.076643
