dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.692495,9.991652,0.000580,0.057971,2.898551,144.927536,0.069498
0.020000,4.692495,9.991652,0.002899,0.173913,5.797101,144.927536,0.069641
0.020000,4.692495,9.991652,0.007536,0.289855,5.797101,0.000000,0.069927
0.020000,4.693294,9.991708,0.014493,0.405797,5.797101,0.000000,0.070356
0.020000,4.702547,9.992363,0.023768,0.521739,5.797101,-0.000000,0.070927
0.020000,4.714111,9.993189,0.035362,0.637681,5.797101,0.000000,0.071640
0.020000,4.727988,9.994190,0.049275,0.753623,5.797101,0.000000,0.072494
0.020000,4.744177,9.995374,0.065507,0.869565,5.797101,-0.000000,0.073489
0.020000,4.762677,9.996747,0.084058,0.985507,5.797101,0.000000,0.074623
0.020000,4.783487,9.998316,0.104928,1.101449,5.797101,-0.000000,0.075895
0.020000,4.806608,10.000090,0.128116,1.217391,5.797101,0.000000,0.077304
0.020000,4.832037,10.002080,0.153623,1.333333,5.797101,-0.000000,0.078849
0.020000,4.859775,10.004295,0.181449,1.449275,5.797101,0.000000,0.080527
0.020000,4.889820,10.006747,0.211594,1.565217,5.797101,0.000000,0.082338
0.020000,4.922171,10.009448,0.244058,1.681159,5.797101,-0.000000,0.084280
0.020000,4.956827,10.012412,0.278841,1.797101,5.797101,0.000000,0.086350
0.020000,4.993787,10.015653,0.315942,1.913043,5.797101,0.000000,0.088546
0.020000,5.033049,10.019184,0.355362,2.028986,5.797101,0.000000,0.090867
0.020000,5.074611,10.023023,0.397101,2.144928,5.797101,0.000000,0.093308
0.020000,5.118472,10.027184,0.441159,2.260870,5.797101,-0.000000,0.095869
0.020000,5.164630,10.031685,0.487536,2.376812,5.797101,0.000000,0.098546
0.020000,5.213083,10.036544,0.536232,2.492754,5.797101,0.000000,0.101336
0.020000,5.263828,10.041778,0.587246,2.608696,5.797101,0.000000,0.104236
0.020000,5.316863,10.047407,0.640580,2.724638,5.797101,0.000000,0.107242
0.020000,5.372186,10.053450,0.696232,2.840580,5.797101,0.000000,0.110351
0.020000,5.429794,10.059927,0.754203,2.956522,5.797101,-0.000000,0.113560
0.020000,5.489684,10.066858,0.814493,3.072464,5.797101,0.000000,0.116863
0.020000,5.551854,10.074263,0.877101,3.188406,5.797101,0.000000,0.120259
0.020000,5.616298,10.082165,0.942029,3.304348,5.797101,0.000000,0.123741
0.020000,5.683016,10.090584,1.009275,3.420290,5.797101,0.000000,0.127306
0.020000,5.752002,10.099542,1.078841,3.536232,5.797101,0.000000,0.130948
0.020000,5.823253,10.109061,1.150725,3.652174,5.797101,-0.000000,0.134664
0.020000,5.896765,10.119163,1.224928,3.768116,5.797101,0.000000,0.138448
0.020000,5.972534,10.129869,1.301449,3.884058,5.797101,0.000000,0.142295
0.020000,6.050555,10.141203,1.380290,4.000000,5.797101,0.000000,0.146199
0.020000,6.130825,10.153185,1.461449,4.115942,5.797101,-0.000000,0.150155
0.020000,6.213339,10.165839,1.544928,4.231884,5.797101,0.000000,0.154157
0.020000,6.298092,10.179184,1.630725,4.347826,5.797101,-0.000000,0.158200
0.020000,6.385078,10.193244,1.718841,4.463768,5.797101,0.000000,0.162276
0.020000,6.474295,10.208039,1.809275,4.579710,5.797101,-0.000000,0.166380
0.020000,6.565736,10.223589,1.902029,4.695652,5.797101,0.000000,0.170505
0.020000,6.659396,10.239916,1.997101,4.811594,5.797101,-0.000000,0.174645
