dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.761936,8.994066,0.000580,0.057971,2.898551,144.927536,0.069498
0.020000,4.762079,8.994076,0.000723,0.007159,-2.540619,-271.958508,0.069641
0.020000,4.762365,8.994096,0.001009,0.014310,0.357574,144.909688,0.069927
0.020000,4.763592,8.994182,0.002240,0.061535,2.361257,100.184158,0.070356
0.020000,4.773414,8.994877,0.012087,0.492337,21.540102,958.942205,0.070927
0.020000,4.785690,8.995754,0.024394,0.615366,6.151438,-769.433181,0.071640
0.020000,4.800419,8.996817,0.039161,0.738362,6.149805,-0.081634,0.072494
0.020000,4.817600,8.998073,0.056387,0.861317,6.147725,-0.104033,0.073489
0.020000,4.837230,8.999530,0.076072,0.984226,6.145483,-0.112098,0.074623
0.020000,4.859309,9.001195,0.098214,1.107085,6.142936,-0.127342,0.075895
0.020000,4.883835,9.003077,0.122811,1.229873,6.139392,-0.177187,0.077304
0.020000,4.910804,9.005187,0.149863,1.352592,6.135962,-0.171529,0.078849
0.020000,4.940215,9.007536,0.179368,1.475239,6.132331,-0.181540,0.080527
0.020000,4.972065,9.010135,0.211324,1.597799,6.128031,-0.214984,0.082338
0.020000,5.006351,9.012998,0.245729,1.720261,6.123084,-0.247349,0.084280
0.020000,5.043070,9.016138,0.282582,1.842634,6.118673,-0.220569,0.086350
0.020000,5.082218,9.019570,0.321879,1.964886,6.112561,-0.305572,0.088546
0.020000,5.123790,9.023310,0.363620,2.087030,6.107238,-0.266152,0.090867
0.020000,5.167784,9.027373,0.407801,2.209051,6.101041,-0.309835,0.093308
0.020000,5.214195,9.031776,0.454420,2.330940,6.094435,-0.330317,0.095869
0.020000,5.263017,9.036537,0.503473,2.452680,6.087019,-0.370832,0.098546
0.020000,5.314245,9.041674,0.554959,2.574273,6.079609,-0.370455,0.101336
0.020000,5.367875,9.047206,0.608873,2.695706,6.071655,-0.397715,0.104236
0.020000,5.423900,9.053152,0.665213,2.816979,6.063664,-0.399574,0.107242
0.020000,5.482313,9.059532,0.723974,2.938067,6.054407,-0.462821,0.110351
0.020000,5.543110,9.066368,0.785153,3.058977,6.045495,-0.445604,0.113560
0.020000,5.606282,9.073678,0.848747,3.179687,6.035478,-0.500877,0.116863
0.020000,5.671822,9.081486,0.914751,3.300191,6.025229,-0.512413,0.120259
0.020000,5.739724,9.089811,0.983161,3.420483,6.014589,-0.532000,0.123741
0.020000,5.809978,9.098677,1.053972,3.540558,6.003734,-0.542755,0.127306
0.020000,5.882576,9.108104,1.127180,3.660395,5.991852,-0.594135,0.130948
0.020000,5.957510,9.118115,1.202780,3.779994,5.979983,-0.593436,0.134664
0.020000,6.034771,9.128732,1.280766,3.899337,5.967124,-0.642960,0.138448
0.020000,6.114349,9.139976,1.361135,4.018423,5.954301,-0.641131,0.142295
0.020000,6.196234,9.151871,1.443879,4.137236,5.940659,-0.682103,0.146199
0.020000,6.280417,9.164438,1.528995,4.255772,5.926804,-0.692739,0.150155
0.020000,6.366886,9.177697,1.616475,4.374019,5.912367,-0.721860,0.154157
0.020000,6.455632,9.191672,1.706315,4.491967,5.897401,-0.748302,0.158200
0.020000,6.546643,9.206382,1.798507,4.609607,5.881995,-0.770294,0.162276
0.020000,6.639908,9.221848,1.893045,4.726934,5.866347,-0.782398,0.166380
0.020000,6.735416,9.238090,1.989924,4.843934,5.849966,-0.819028,0.170505
0.020000,6.833154,9.255128,2.089136,4.960599,5.833297,-0.833470,0.174645
0.020000,6.933111,9.272979,2.190675,5.076923,5.816185,-0.855590,0.178792
0.020000,7.035274,9.291662,2.294533,5.192896,5.798645,-0.877013,0.182940
0.020000,7.139633,9.311193,2.400703,5.308511,5.780722,-0.896154,0.187081
0.020000,7.246173,9.331590,2.509178,5.423757,5.762342,-0.919008,0.191208
0.020000,7.354883,9.352866,2.619950,5.538630,5.743620,-0.936104,0.195314
0.020000,7.465751,9.375035,2.733013,5.653119,5.724485,-0.956728,0.199391
0.020000,7.578763,9.398111,2.848357,5.767219,5.704982,-0.975149,0.203432
0.020000,7.693908,9.422105,2.965976,5.880922,5.685150,-0.991632,0.207427
0.020000,7.811174,9.447027,3.085860,5.994221,5.664968,-1.009086,0.211369
0.020000,7.930547,9.472885,3.208002,6.107109,5.644369,-1.029956,0.215251
0.020000,8.052017,9.499688,3.332394,6.219579,5.623497,-1.043564,0.219063
0.020000,8.175571,9.527439,3.459026,6.331625,5.602319,-1.058916,0.222797
0.020000,8.301198,9.556143,3.587891,6.443241,5.580803,-1.075826,0.226444
0.020000,8.428887,9.585803,3.718980,6.554418,5.558851,-1.097605,0.229996
0.020000,8.558627,9.616418,3.852283,6.665155,5.536833,-1.100871,0.233445
0.020000,8.690408,9.647987,3.987791,6.775440,5.514246,-1.129340,0.236779
0.020000,8.824218,9.680506,4.125497,6.885271,5.491564,-1.134125,0.239992
0.020000,8.960050,9.713969,4.265390,6.994640,5.468448,-1.155775,0.243073
0.020000,9.097893,9.748369,4.407460,7.103541,5.445069,-1.168957,0.246014
0.020000,9.237740,9.783694,4.551700,7.211969,5.421368,-1.185039,0.248804
0.020000,9.379582,9.819933,4.698098,7.319914,5.397245,-1.206151,0.251434
0.020000,9.523412,9.857070,4.846646,7.427374,5.372994,-1.212589,0.253895
0.020000,9.669224,9.895088,4.997332,7.534339,5.348265,-1.236447,0.256176
0.020000,9.817012,9.933966,5.150148,7.640803,5.323183,-1.254092,0.258267
0.020000,9.966771,9.973682,5.305084,7.746758,5.297774,-1.270423,0.260159
0.020000,10.118495,10.014210,5.462128,7.852198,5.272006,-1.288396,0.261841
0.020000,10.272182,10.055521,5.621270,7.957112,5.245685,-1.316071,0.263302
0.020000,10.427265,10.097430,5.781916,8.032310,3.759897,-74.289379,0.264528
0.020000,10.582621,10.139597,5.942893,8.048826,0.825830,-146.703347,0.265504
0.020000,10.737695,10.181830,6.103615,8.036120,-0.635297,-73.056371,0.266227
0.020000,10.892500,10.224087,6.264083,8.023422,-0.634907,0.019495,0.266695
0.020000,11.047045,10.266331,6.424298,8.010729,-0.634690,0.010843,0.266910
0.020000,11.201341,10.308521,6.584259,7.998037,-0.634593,0.004843,0.266870
0.020000,11.355400,10.350618,6.743966,7.985345,-0.634604,-0.000530,0.266577
0.020000,11.509232,10.392585,6.903419,7.972649,-0.634762,-0.007883,0.266030
0.020000,11.662846,10.434380,7.062618,7.959948,-0.635046,-0.014194,0.265229
0.020000,11.816254,10.475967,7.221562,7.947240,-0.635397,-0.017570,0.264174
0.020000,11.969466,10.517306,7.380253,7.934522,-0.635922,-0.026265,0.262864
0.020000,12.122490,10.558359,7.538689,7.921791,-0.636558,-0.031803,0.261300
0.020000,12.275338,10.599087,7.696870,7.909045,-0.637275,-0.035813,0.259481
0.020000,12.428018,10.639452,7.854795,7.896286,-0.637964,-0.034496,0.257407
